# Timestamp(ns);angle_cmd
1687075770150461696.000000;-19.340363
1687075770161131264.000000;-18.577808
1687075770169177856.000000;-17.552860
1687075770179714560.000000;-18.046997
1687075770190702080.000000;-17.274511
1687075770199385088.000000;-16.563505
1687075770210064896.000000;-15.901156
1687075770219684608.000000;-25.171661
1687075770230591232.000000;-24.427900
1687075770239627008.000000;-23.717859
1687075770250350848.000000;-23.043076
1687075770260346112.000000;-22.292265
1687075770271582976.000000;-21.347033
1687075770279378432.000000;-21.562752
1687075770289946624.000000;-20.677307
1687075770300903424.000000;-19.743813
1687075770311025664.000000;-18.849686
1687075770321430784.000000;-17.781164
1687075770329645568.000000;-27.676006
1687075770339594496.000000;-26.567720
1687075770350648320.000000;-25.558723
1687075770360893952.000000;-24.580873
1687075770370155264.000000;-23.141619
1687075770379614976.000000;-22.655571
1687075770389278720.000000;-21.558226
1687075770400231936.000000;-20.501478
1687075770410934016.000000;-19.513414
1687075770419500288.000000;-18.113966
1687075770429708800.000000;-16.906277
1687075770439453184.000000;-27.158846
1687075770450035200.000000;-25.914949
1687075770460954112.000000;-24.635838
1687075770469670656.000000;-23.317644
1687075770479475712.000000;-22.092920
1687075770489535744.000000;-21.217579
1687075770499782144.000000;-20.125738
1687075770509851904.000000;-19.118006
1687075770519568128.000000;-17.721277
1687075770530377472.000000;-16.533739
1687075770539602688.000000;-27.314056
1687075770550840576.000000;-26.160416
1687075770559788800.000000;-25.007414
1687075770570214144.000000;-23.551649
1687075770579881472.000000;-22.197014
1687075770590105600.000000;-21.019350
1687075770599843328.000000;-19.962042
1687075770610800896.000000;-18.935242
1687075770619771136.000000;-17.733009
1687075770629784320.000000;-16.659655
1687075770640005120.000000;-15.665899
1687075770649839616.000000;-14.685280
1687075770661007104.000000;-13.740691
1687075770669927424.000000;-24.389915
1687075770679547136.000000;-23.161268
1687075770690078976.000000;-22.033644
1687075770699535872.000000;-20.948969
1687075770709736960.000000;-19.899809
1687075770720308224.000000;-18.553926
1687075770730644224.000000;-17.460091
1687075770739529984.000000;-16.544443
1687075770749199360.000000;-15.635760
1687075770760789248.000000;-14.793755
1687075770770724608.000000;-26.263702
1687075770779884544.000000;-25.260395
1687075770789358080.000000;-24.317610
1687075770799724032.000000;-23.386610
1687075770811245568.000000;-22.484955
1687075770819506944.000000;-21.278994
1687075770830545920.000000;-20.277771
1687075770839974912.000000;-19.359594
1687075770850447872.000000;-18.515289
1687075770859676416.000000;-17.706631
1687075770871103232.000000;-29.747520
1687075770880315904.000000;-28.756981
1687075770890257408.000000;-27.796988
1687075770900560896.000000;-26.844366
1687075770910889728.000000;-25.923979
1687075770919773440.000000;-24.619617
1687075770929651456.000000;-23.573992
1687075770939877376.000000;-22.573311
1687075770949737984.000000;-21.602684
1687075770959780608.000000;-20.630434
1687075770970192128.000000;-32.889561
1687075770979420416.000000;-31.559513
1687075770989711872.000000;-30.361107
1687075770999711488.000000;-29.192261
1687075771010134272.000000;-28.079126
1687075771019705344.000000;-26.991175
1687075771030675456.000000;-25.870001
1687075771039810560.000000;-24.332653
1687075771049699328.000000;-23.107855
1687075771060772608.000000;-21.952557
1687075771069720064.000000;-20.446819
1687075771079574272.000000;-32.736790
1687075771090215936.000000;-31.468990
1687075771100218624.000000;-30.255758
1687075771110621440.000000;-29.132856
1687075771120418048.000000;-27.962698
1687075771130492160.000000;-26.808958
1687075771140228608.000000;-25.125717
1687075771150015744.000000;-23.904810
1687075771161219072.000000;-22.711313
1687075771169431808.000000;-21.498823
1687075771179668480.000000;-19.897142
1687075771190192896.000000;-18.564266
1687075771200110592.000000;-30.709816
1687075771210741504.000000;-29.414165
1687075771219546624.000000;-27.684429
1687075771229758208.000000;-26.197544
1687075771239504128.000000;-24.855684
1687075771250223360.000000;-23.608772
1687075771260181504.000000;-22.483553
1687075771269584384.000000;-20.870674
1687075771279827456.000000;-33.332413
1687075771289335808.000000;-32.123100
1687075771301260032.000000;-31.023174
1687075771310350336.000000;-29.932718
1687075771320271360.000000;-28.443226
1687075771329406720.000000;-27.169598
1687075771339575552.000000;-25.891956
1687075771350922240.000000;-24.683689
