# Timestamp(ns);gear_cmd;accelerator_cmd;brake_cmd
1687076041050949120.000000;1.000000;-5.263158;0.000000
1687076041091183872.000000;1.000000;-5.263158;0.000000
1687076041171321344.000000;1.000000;-5.263158;0.000000
1687076041251896064.000000;1.000000;-5.263158;0.000000
1687076041270438400.000000;1.000000;-5.263158;0.000000
1687076041330747904.000000;1.000000;-5.263158;0.000000
1687076041371534080.000000;1.000000;-5.263158;0.000000
1687076041451861760.000000;1.000000;-5.263158;0.000000
1687076041490118656.000000;1.000000;-5.263158;0.000000
1687076041570154240.000000;1.000000;-5.263158;0.000000
1687076041670459648.000000;1.000000;-5.263158;0.000000
1687076041690643200.000000;1.000000;-5.263158;0.000000
1687076041752961792.000000;1.000000;-5.263158;0.000000
1687076041791937024.000000;1.000000;-5.263158;0.000000
1687076041830161920.000000;1.000000;-5.263158;0.000000
1687076041890209024.000000;1.000000;-5.263158;0.000000
1687076041950959616.000000;1.000000;-5.263158;0.000000
1687076041990896128.000000;1.000000;-5.263158;0.000000
1687076042051153408.000000;1.000000;-5.263158;0.000000
1687076042090953728.000000;1.000000;-5.263158;0.000000
1687076042150768384.000000;1.000000;-5.263158;0.000000
1687076042352190720.000000;1.000000;-5.263158;0.000000
1687076042650484480.000000;1.000000;-5.263158;0.000000
1687076043370348800.000000;1.000000;-5.263158;0.000000
1687076043471471360.000000;1.000000;-5.263158;0.000000
1687076044131099648.000000;1.000000;-5.263158;0.000000
1687076044210449408.000000;1.000000;-5.263158;0.000000
1687076044251756544.000000;1.000000;-5.263158;0.000000
1687076044291839232.000000;1.000000;-5.263158;0.000000
1687076044411813376.000000;1.000000;-5.263158;0.000000
1687076044450346240.000000;1.000000;-5.263158;0.000000
1687076044490867712.000000;1.000000;-5.263158;0.000000
1687076044552134912.000000;1.000000;-5.263158;0.000000
1687076044570998784.000000;1.000000;-5.263158;0.000000
1687076044631139328.000000;1.000000;-5.263158;0.000000
1687076044671364608.000000;1.000000;-5.263158;0.000000
1687076044731377152.000000;1.000000;-5.263158;0.000000
1687076044791182592.000000;1.000000;-5.263158;0.000000
1687076044851062528.000000;1.000000;-5.263158;0.000000
1687076044891522304.000000;1.000000;-5.263158;0.000000
1687076044951668480.000000;1.000000;-5.263158;0.000000
1687076044970752256.000000;1.000000;-5.263158;0.000000
1687076045030578688.000000;1.000000;-5.263158;0.000000
1687076045070817280.000000;1.000000;-5.263158;0.000000
1687076045130275840.000000;1.000000;-5.263158;0.000000
1687076045170776320.000000;1.000000;-5.263158;0.000000
1687076045250766848.000000;1.000000;-5.263158;0.000000
1687076045290199040.000000;1.000000;-5.263158;0.000000
1687076045352204800.000000;1.000000;-5.263158;0.000000
1687076045371198720.000000;1.000000;-5.263158;0.000000
1687076045450233856.000000;1.000000;-5.263158;0.000000
1687076045530500096.000000;1.000000;-5.263158;0.000000
1687076045571160320.000000;1.000000;-5.263158;0.000000
1687076045631351040.000000;1.000000;-5.263158;0.000000
1687076045672841472.000000;1.000000;-5.263158;0.000000
1687076045770348544.000000;1.000000;-5.263158;0.000000
1687076045830688512.000000;1.000000;-5.263158;0.000000
1687076045871631616.000000;1.000000;-5.263158;0.000000
1687076045931079680.000000;1.000000;-5.263158;0.000000
1687076045990818816.000000;1.000000;-5.263158;0.000000
1687076046035200512.000000;1.000000;-5.263158;0.000000
1687076046090935808.000000;1.000000;-5.263158;0.000000
1687076046151735040.000000;1.000000;-5.263158;0.000000
1687076046170138112.000000;1.000000;-5.263158;0.000000
1687076046250781184.000000;1.000000;-5.263158;0.000000
1687076046311419392.000000;1.000000;-5.263158;0.000000
1687076046331273728.000000;1.000000;-5.263158;0.000000
1687076046370632192.000000;1.000000;-5.263158;0.000000
1687076046454142720.000000;1.000000;-5.263158;0.000000
1687076046490613760.000000;1.000000;-5.263158;0.000000
1687076046532254720.000000;1.000000;-5.263158;0.000000
1687076046570345984.000000;1.000000;-5.263158;0.000000
1687076046630546944.000000;1.000000;-5.263158;0.000000
1687076046710773248.000000;1.000000;-5.263158;0.000000
1687076046730287872.000000;1.000000;-5.263158;0.000000
1687076046770786048.000000;1.000000;-5.263158;0.000000
1687076046950742528.000000;1.000000;-5.263158;0.000000
1687076046970488064.000000;1.000000;-5.263158;0.000000
1687076047131278336.000000;1.000000;-5.263158;0.000000
1687076047190696960.000000;1.000000;-5.263158;0.000000
1687076047231349504.000000;1.000000;-5.263158;0.000000
1687076047270470144.000000;1.000000;-5.263158;0.000000
1687076047310976256.000000;1.000000;-5.263158;0.000000
1687076047330287360.000000;1.000000;-5.263158;0.000000
1687076047390255104.000000;1.000000;-5.263158;0.000000
1687076047440071936.000000;1.000000;-5.263158;0.000000
